ZCTA,GEOID20,oy_pct,population,pop_16_24,adjacent
75851,75851,0.3684,2630,347,75862
75852,75852,0.8095,1413,187,"75862, 77320, 77864"
75862,75862,0.212,3499,462,"75851, 75852, 77320, 77367"
77002,77002,0.5506,21015,2774,"77003, 77004, 77006, 77007, 77009, 77010, 77019, 77020"
77003,77003,0.2148,10158,1341,"77002, 77004, 77010, 77011, 77020, 77023"
77004,77004,0,36952,4878,"77002, 77003, 77005, 77006, 77021, 77023, 77030, 77204"
77005,77005,0.0705,27926,3686,"77004, 77006, 77025, 77027, 77030, 77081, 77098, 77401"
77006,77006,0.0415,22709,2998,"77002, 77004, 77005, 77019, 77098"
77007,77007,0.0519,41071,5421,"77002, 77008, 77009, 77019, 77024"
77008,77008,0.0684,35933,4743,"77007, 77009, 77018, 77024, 77055, 77092"
77009,77009,0.1441,39451,5208,"77002, 77007, 77008, 77020, 77022, 77026"
77010,77010,0,751,99,"77002, 77003"
77011,77011,0.2612,18949,2501,"77003, 77012, 77020, 77023"
77012,77012,0.1072,21124,2788,"77011, 77017, 77020, 77023, 77029, 77087, 77547"
77013,77013,0.2109,15357,2027,"77015, 77028, 77029, 77049, 77078"
77014,77014,0.1107,39414,5203,"77066, 77067, 77068, 77069, 77090"
77015,77015,0.1334,57224,7554,"77013, 77017, 77029, 77049, 77506, 77530, 77547, 77571"
77016,77016,0.1466,33139,4374,"77026, 77028, 77050, 77078, 77093"
77017,77017,0.2023,31464,4153,"77012, 77015, 77034, 77061, 77087, 77502, 77506, 77547, 77587"
77018,77018,0.0865,25134,3318,"77008, 77022, 77091, 77092"
77019,77019,0.0673,20739,2738,"77002, 77006, 77007, 77027, 77098"
77020,77020,0.2305,24845,3279,"77002, 77003, 77009, 77011, 77012, 77026, 77028, 77029"
77021,77021,0.1142,29973,3956,"77004, 77023, 77030, 77033, 77051, 77054, 77204"
77022,77022,0.209,29112,3843,"77009, 77018, 77026, 77076, 77091, 77093"
77023,77023,0.2275,28532,3766,"77003, 77004, 77011, 77012, 77021, 77087"
77024,77024,0.0637,37402,4937,"77007, 77008, 77027, 77042, 77043, 77055, 77056, 77057, 77063, 77079"
77025,77025,0.0726,32204,4251,"77005, 77030, 77035, 77045, 77054, 77096, 77401"
